股票代码,股票简称,最新价,最新涨跌幅,个股热度[20251128],个股热度排名[20251128],market_code,code
600711.SH,盛屯矿业,12.34,5.290102389,42357.0,172,17,600711
603026.SH,石大胜华,92.45,3.307632138,42176.5,173,17,603026
002213.SZ,大为股份,27.39,2.661169415,42020.5,174,33,002213
601127.SH,赛力斯,126.19,0.493748507,41811.5,175,17,601127
300476.SZ,胜宏科技,270.7,-2.334307465,41770.0,176,33,300476
002131.SZ,利欧股份,5.13,0.1953125,41523.5,177,33,002131
600619.SH,海立股份,21.72,-1.272727273,41492.5,178,17,600619
002463.SZ,沪电股份,69.45,-0.969627834,41445.0,179,33,002463
002466.SZ,天齐锂业,55.03,2.381395349,41118.0,180,33,002466
002795.SZ,永和智控,6.94,9.984152139,40852.0,181,33,002795
601929.SH,吉视传媒,3.85,1.583113456,40833.5,182,17,601929
000632.SZ,三木集团,6.19,3.511705686,40789.5,183,33,000632
300421.SZ,力星股份,25.13,12.388193202,40725.5,184,33,300421
002952.SZ,亚世光电,23.13,9.985734665,39786.5,185,33,002952
600829.SH,人民同泰,12.67,0.316706255,39692.5,186,17,600829
000593.SZ,德龙汇能,11.96,6.21669627,39657.5,187,33,000593
000558.SZ,天府文旅,5.91,1.372212693,39504.5,188,33,000558
300750.SZ,宁德时代,373.2,0.538793103,39463.0,189,33,300750
002922.SZ,伊戈尔,29.88,10.014727541,39300.0,190,33,002922
000901.SZ,航天科技,18.84,4.841402337,39159.5,191,33,000901
002460.SZ,赣锋锂业,62.55,2.089113759,39093.5,192,33,002460
002136.SZ,安纳达,13.66,9.98389694,38881.5,193,33,002136
000788.SZ,北大医药,7.09,-3.799185889,38650.0,194,33,000788
002196.SZ,方正电机,13.33,-2.201027146,38557.0,195,33,002196
002549.SZ,凯美特气,22.27,0.496389892,38386.5,196,33,002549
000609.SZ,ST中迪,12.01,-4.984177215,38271.0,197,33,000609
600592.SH,龙溪股份,25.6,3.434343434,38223.5,198,17,600592
002752.SZ,昇兴股份,6.91,4.223227753,37976.5,199,33,002752
000158.SZ,常山北明,21.87,-0.22810219,37974.5,200,33,000158
002090.SZ,金智科技,11.95,10.036832413,37850.5,201,33,002090
688256.SH,寒武纪,1331,1.035404142,37789.5,202,17,688256
300189.SZ,神农种业,6,8.89292196,37674.5,203,33,300189
600721.SH,百花医药,10.11,10.010881393,36880.0,204,17,600721
002150.SZ,通润装备,21.05,9.979101358,36696.5,205,33,002150
002451.SZ,摩恩电气,10.73,-2.719854941,36455.5,206,33,002451
000977.SZ,浪潮信息,61.59,-0.741337631,36368.0,207,33,000977
600981.SH,苏豪汇鸿,3.08,10,36289.0,208,17,600981
603657.SH,春光科技,37.27,10.005903188,36163.5,209,17,603657
002625.SZ,光启技术,45.16,0.489541611,36031.0,210,33,002625
603162.SH,海通发展,12.19,6.929824561,35939.5,211,17,603162
000681.SZ,视觉中国,23.5,-0.212314225,35724.0,212,33,000681
600376.SH,首开股份,5.81,1.573426573,35679.5,213,17,600376
002093.SZ,国脉科技,12.8,1.185770751,35621.0,214,33,002093
002681.SZ,奋达科技,7.25,0.276625173,35589.0,215,33,002681
605133.SH,嵘泰股份,38.51,9.997143673,35306.0,216,17,605133
301358.SZ,湖南裕能,76.51,11.012768427,35298.0,217,33,301358
601600.SH,中国铝业,10.51,0.670498084,35268.0,218,17,601600
603232.SH,格尔软件,26.32,3.256178894,35090.0,219,17,603232
003041.SZ,真爱美家,53.8,-8.890770533,34968.5,220,33,003041
300437.SZ,清水源,20.3,2.061337355,34854.5,221,33,300437
603155.SH,新亚强,19.47,4.790096878,34842.0,222,17,603155
002510.SZ,天汽模,6.94,1.908957416,34396.0,223,33,002510
603878.SH,武进不锈,10.54,10.020876827,34356.5,224,17,603878
001309.SZ,德明利,219.9,2.670650854,34348.0,225,33,001309
002261.SZ,拓维信息,31.67,0.699523052,34312.0,226,33,002261
000878.SZ,云南铜业,16.62,1.713586291,34069.0,227,33,000878
603758.SH,秦安股份,17.9,10.018438844,34037.0,228,17,603758
300604.SZ,长川科技,77.11,1.580819391,33978.5,229,33,300604
603986.SH,兆易创新,203,1.0654187,33866.0,230,17,603986
603799.SH,华友钴业,61.83,2.741774676,33651.5,231,17,603799
301025.SZ,读客文化,11.74,11.490978158,33329.5,232,33,301025
002812.SZ,恩捷股份,55.35,3.111028316,33293.0,233,33,002812
002713.SZ,*ST东易,12.99,-4.974396489,33170.5,234,33,002713
000796.SZ,凯撒旅业,6.93,3.74251497,32906.5,235,33,000796
301005.SZ,超捷股份,66.38,-3.797101449,32816.0,236,33,301005
002352.SZ,顺丰控股,38.37,-1.082753287,32691.5,237,33,002352
301117.SZ,佳缘科技,51.06,5.386996904,32669.0,238,33,301117
300086.SZ,康芝药业,12.72,2.995951417,32549.0,239,33,300086
000017.SZ,深中华A,7.71,5.761316872,32510.5,240,33,000017
603259.SH,药明康德,91.19,-1.095444685,32358.5,241,17,603259
600877.SH,电科芯片,15.54,-1.831964624,32182.0,242,17,600877
688795.SH,摩尔线程,,,31957.5,243,17,688795
600549.SH,厦门钨业,34.4,5.683563748,31834.5,244,17,600549
300760.SZ,迈瑞医疗,204.01,3.927661742,31737.5,245,33,300760
002255.SZ,海陆重工,12.4,-0.958466454,31531.5,246,33,002255
605086.SH,龙高股份,33.99,10,31485.0,247,17,605086
603516.SH,淳中科技,177.95,-1.138888889,31312.0,248,17,603516
601288.SH,农业银行,8.04,-0.740740741,31304.0,249,17,601288
603169.SH,兰石重装,9.81,-1.703406814,31162.0,250,17,603169
002682.SZ,龙洲股份,5.57,3.917910448,31121.0,251,33,002682
000737.SZ,北方铜业,14.24,1.641684511,31110.0,252,33,000737
301488.SZ,豪恩汽电,149.02,12.817018699,30849.0,253,33,301488
300390.SZ,天华新能,51.94,3.610612408,30830.5,254,33,300390
688981.SH,中芯国际,113.6,0.789637122,30682.5,255,17,688981
002583.SZ,海能达,11.84,1.023890785,30665.5,256,33,002583
